Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.25765160000002, 31.022497439999974]]",4,光电大楼B座,AF00,310117,松卫北路820
"[[121.25798153999996, 31.022707140000005]]",4,光电广场,AF00,310117,卫松北路819
"[[121.25760155999996, 31.022897175000008]]",4,光电大楼A座,AF00,310117,松卫北路801号
"[[121.25760155999996, 31.022897175000008]]",4,光电大楼,AF00,310117,卫松北路819
"[[121.24297925999998, 31.023112905000005]]",4,企德天地,AF00,310117,方塔北路605号
"[[121.44577373999999, 31.023934470000036]]",4,紫竹信息数码港3号楼,AF00,310112,东川路555号
"[[121.44489137999999, 31.023942479999988]]",4,紫竹信息数码港2号楼,AF00,310112,东川路555号
"[[121.44452022000002, 31.02415145999996]]",4,上海紫竹信息数码港1号楼,AF00,310112,东川路555号
"[[121.44452022000002, 31.02415145999996]]",4,上海紫竹信息数码港,AF00,310112,东川路555号
"[[121.44823002000001, 31.02456941999999]]",4,紫竹信息数码港4号楼,AF00,310112,东川路555号
"[[121.26365819999998, 31.024663649999972]]",4,宝胜国际财富中心7号楼,AF00,310117,宝胜路18
"[[121.44843053999999, 31.024679759999973]]",4,紫竹信息数码港5号楼,AF00,310112,东川路555号
"[[121.263858, 31.024863449999984]]",4,宝胜国际财富中心5号楼,AF00,310117,宝胜路18
"[[121.26343824, 31.025113469999976]]",4,宝胜国际财富中心6号楼,AF00,310117,宝胜路18
"[[121.21557713999998, 31.025149109999994]]",4,林芝大厦,AF00,310117,南期昌路751号
"[[121.25733137999998, 31.025165805000043]]",4,企福天地,AF00,310117,松卫北路663
"[[121.44894156, 31.02518043000001]]",4,紫竹信息数码港6号楼,AF00,310112,东川路555号
"[[121.26435768000005, 31.02531295499996]]",4,宝胜国际财富中心8号楼,AF00,310117,宝胜路18
"[[121.26353814, 31.025463165000044]]",4,宝胜国际财富中心10号楼,AF00,310117,宝胜路18
"[[121.26353814, 31.025463165000044]]",4,宝胜国际财富中心,AF00,310117,宝胜路18
"[[121.44926213999996, 31.02592041000004]]",4,紫竹信息数码港7号楼,AF00,310112,东川路555号
"[[121.2368769, 31.026388455000042]]",4,古树园商务楼,AF00,310117,沪松路211
"[[121.29032033999997, 31.026660524999993]]",4,云天大楼,AF00,310117,南乐路518号
"[[121.41605556000002, 31.028201684999967]]",4,我享我家大厦,AF00,310112,剑川路955号
"[[121.22964090000002, 31.028281064999963]]",4,紫东大厦,AF00,310117,谷阳北路1027弄内
"[[121.41681678000003, 31.02829272000004]]",4,沧源科技园科技大楼,AF00,310112,
"[[121.41810863999999, 31.02902387999996]]",4,上海易迈研发大楼,AF00,310112,沧源路1488号
"[[121.256361, 31.030832430000032]]",4,旺腾汽车生活广场1号楼,AF00,310117,松卫北路313
"[[121.256361, 31.030832430000032]]",4,旺腾汽车生活广场,AF00,310117,松卫北路313
"[[121.25548133999996, 31.030942680000006]]",4,凯富家园广场,AF00,310117,松卫北路280
"[[121.25632103999997, 31.03112223000003]]",4,旺腾汽车生活广场2号楼,AF00,310117,松卫北路313
"[[121.25716055999999, 31.031221860000013]]",4,旺腾汽车生活广场3号楼,AF00,310117,松卫北路313
"[[121.25771028, 31.03127158500004]]",4,旺腾汽车生活广场9号楼,AF00,310117,松卫北路313号
"[[121.25783015999997, 31.031331525000027]]",4,旺腾汽车生活广场8号楼,AF00,310117,松卫北路313号
"[[121.52840436000002, 31.031468144999963]]",4,三悦广场,AF00,310112,三鲁公路700号
"[[121.25785014000002, 31.031521380000015]]",4,旺腾汽车生活广场7号楼,AF00,310117,松卫北路313号
"[[121.25778011999999, 31.03165134000002]]",4,旺腾汽车生活广场6号楼,AF00,310117,松卫北路313号
"[[121.25751029999996, 31.031711370000014]]",4,旺腾汽车生活广场4号楼,AF00,310117,松卫北路313号
"[[121.25764025999996, 31.031751330000034]]",4,旺腾汽车生活广场5号楼,AF00,310117,松卫北路313号
"[[121.25695050000002, 31.031951444999983]]",4,陆国时代大厦,AF00,310117,松卫北路295号
"[[121.65079517999996, 31.033074284999984]]",4,上海胜华科技大厦,AF00,310115,新坦瓦公路55
"[[121.24922472, 31.035932550000044]]",4,韦和大楼,AF00,310117,茸树路58号
"[[121.23108935999996, 31.036045860000005]]",4,永翔大厦,AF00,310117,谷阳北路1500
"[[121.24451880000001, 31.03685541000002]]",4,福都广场,AF00,310117,茸平路
"[[120.91829939999997, 31.038796664999968]]",4,金泽大厦,AF00,310118,金溪路111号
"[[121.71375233999997, 31.03897607999998]]",4,茂德广场,AF00,310115,沪南公路9408号
"[[121.74517025999998, 31.04039600999996]]",4,绿地峰汇商务广场C座,AF00,310115,城南路168弄10号
"[[121.21428563999996, 31.040670914999968]]",4,丰源大厦,AF00,310117,新松江路909
"[[121.74585984000001, 31.04073535499997]]",4,绿地峰汇商务广场D座,AF00,310115,城南路168弄11号
"[[121.21268346000001, 31.041158489999987]]",4,恒杰商务大楼B座,AF00,310117,新松江路1060号
"[[121.20820775999996, 31.04132301000001]]",4,恒杰商务大楼A座,AF00,310117,新松江路1234号
"[[121.20820775999996, 31.04132301000001]]",4,恒杰商务大楼,AF00,310117,新松江路1234号
"[[121.74480018, 31.041365534999976]]",4,绿地峰汇商务广场B座,AF00,310115,城南路168弄3号
"[[121.23864359999999, 31.041817469999977]]",4,科邦商务楼,AF00,310117,茸北路333弄
"[[121.74570972000004, 31.041874619999998]]",4,绿地峰汇商务广场,AF00,310115,城南路146号
"[[121.74570972000004, 31.041874619999998]]",4,绿地峰汇商务广场A座,AF00,310115,城南路168弄2号
"[[121.72999554000003, 31.042024065000017]]",4,水利大楼,AF00,310115,沪南公路9800
"[[121.73194476000003, 31.042032840000033]]",4,富成大楼,AF00,310115,沪南公路9828号
"[[121.59152783999997, 31.042289025000002]]",4,汇力商务广场,AF00,310115,沪南路5455弄1～10号
"[[121.73824205999998, 31.043028329999977]]",4,博佳大楼,AF00,310115,城南路1号
"[[121.18645818000002, 31.044622995000026]]",4,文翔大厦,AF00,310117,文翔路3175～3177
"[[121.23115379999996, 31.044956354999986]]",4,松云银座,AF00,310117,文翔路1010号
"[[121.75921187999997, 31.046261759999993]]",4,永乐大厦,AF00,310115,城东路88号
"[[121.75866198000003, 31.046661809999964]]",4,南汇工业大厦,AF00,310115,城东路23
"[[121.75560252000002, 31.048562295000004]]",4,海燕大厦,AF00,310115,东门大街141
"[[121.74492743999997, 31.049019359999985]]",4,彩虹商务广场,AF00,310115,西门路18号
"[[121.3941591, 31.050435465000003]]",4,汇力得电子商务产业园,AF00,310112,
"[[121.3941591, 31.050435465000003]]",4,汇力得电子商务产业园A楼,AF00,310112,
"[[121.74004926000002, 31.050441539999973]]",4,公民律师楼,AF00,310115,通济路229弄51
"[[121.73757029999999, 31.050553184999973]]",4,房地大厦,AF00,310115,听潮路101弄
"[[121.39321949999997, 31.050785655000023]]",4,汇力得电子商务产业园B楼,AF00,310112,
"[[121.39321949999997, 31.05102545999997]]",4,汇力得电子商务产业园C楼,AF00,310112,
"[[121.19612670000002, 31.051178054999983]]",4,文汇新天地,AF00,310117,文汇路955号
"[[121.19572620000001, 31.05122750999999]]",4,文汇新天地西门,AF00,310117,文汇路955号
"[[121.77528516000001, 31.054364550000024]]",4,鑫东大厦,AF00,310115,丰海路148
"[[121.76078687999998, 31.05609205499996]]",4,通盛商务广场,AF00,310115,文益街1
"[[121.76848547999997, 31.056627014999993]]",4,汇港国际商务广场,AF00,310115,凤景街
"[[121.75994682000002, 31.056961859999987]]",4,南汇信息大楼,AF00,310115,拱极路2900号
"[[121.58299368000003, 31.05730912500003]]",4,金丝猴集团办公楼,AF00,310115,沪南路5100号
"[[121.23995615999996, 31.058282565000017]]",4,嘉立·国际广场,AF00,310117,广富林路
"[[121.23979596000004, 31.058322345000022]]",4,昂立大厦,AF00,310117,广富林路
"[[121.23994445999998, 31.060849769999976]]",4,万达广场4号楼,AF00,310117,广富林路658弄203
"[[121.23939383999998, 31.060919070000025]]",4,万达广场3号楼,AF00,310117,广富林路658弄213
"[[121.23780173999997, 31.06110699000003]]",4,万达广场2号楼,AF00,310117,广富林路658弄243
"[[121.23743112000002, 31.06116647999998]]",4,万达广场,AF00,310117,广富林路658弄256
"[[121.23743112000002, 31.06116647999998]]",4,万达广场1号楼,AF00,310117,广富林路658弄256
"[[121.30277526000002, 31.061372040000023]]",4,申新商务楼2号楼,AF00,310117,九新公路2888号
"[[121.30357374, 31.06148075999996]]",4,申新广场,AF00,310117,九新公路2888号
"[[121.30283483999997, 31.062441240000027]]",4,申新商务楼4号楼,AF00,310117,九新公路2888号
"[[121.30274483999999, 31.063340745000023]]",4,亚繁财富广场,AF00,310117,卖新公路2058号
"[[121.30399260000002, 31.06337885999998]]",4,金城广场,AF00,310117,卖新公路2128号
"[[121.41520145999996, 31.063948784999972]]",4,丽琴大厦,AF00,310112,都会路1885
"[[121.41418014000001, 31.066896285000045]]",4,晶碧金天地B座,AF00,310112,
"[[121.4136198, 31.06700594999997]]",4,晶碧金天地,AF00,310112,
"[[121.4136198, 31.06700594999997]]",4,晶碧金天地A座,AF00,310112,
"[[121.41403002000001, 31.06740586500002]]",4,晶碧金天地C座,AF00,310112,
"[[121.41286919999999, 31.067485245000015]]",4,晶碧金天地F座,AF00,310112,
"[[121.41366965999995, 31.06775546999999]]",4,晶碧金天地D座,AF00,310112,都会路1999～2059号
"[[121.41270899999996, 31.067964809999992]]",4,晶碧金天地G座,AF00,310112,
"[[121.41344951999994, 31.06817504999998]]",4,晶碧金天地E座,AF00,310112,
"[[121.34786238000001, 31.068808695000005]]",4,悦承大楼,AF00,310117,金都西路588号
"[[121.64166594, 31.072776165000004]]",4,施爱大楼,AF00,310115,申江南路5188号
"[[121.39303446000002, 31.07493949500003]]",4,晶森商务大厦,AF00,310112,光华路18号
"[[121.39303446000002, 31.07493949500003]]",4,晶森商务大厦7幢,AF00,310112,光华路18号
"[[121.39279451999998, 31.07542931999997]]",4,晶森商务大厦1幢,AF00,310112,光华路18号
"[[121.41332784000001, 31.076109720000044]]",4,明申财富天地,AF00,310112,颛兴东路1277号
"[[121.63880772000002, 31.077436050000006]]",4,强荣大厦,AF00,310115,
"[[121.51754316000003, 31.081428809999966]]",4,明浦广场,AF00,310112,三鲁公路3279
"[[121.36005360000001, 31.083317505000007]]",4,久赛大厦,AF00,310117,银都西路333号
"[[121.41852929999996, 31.08443665499997]]",4,福克斯连锁商务大厦1号楼,AF00,310112,沪光东路89号
"[[121.41879930000002, 31.08469657499998]]",4,福克斯连锁商务大厦,AF00,310112,沪光东路89号
"[[121.41879930000002, 31.08469657499998]]",4,福克斯连锁商务大厦2号楼,AF00,310112,沪光东路89号
"[[121.38270191999999, 31.08819973500002]]",4,永杰大厦,AF00,310112,申旺路5号
"[[121.75719065999996, 31.090540634999996]]",4,盐仓停车场综合楼,AF00,310115,川南奉公路（旧）盐朝公路交界处
"[[121.62051288000002, 31.093685100000023]]",4,医谷PLUS,AF00,310115,芙蓉花路
"[[121.57364519999996, 31.093876799999986]]",4,周浦智慧产业园1号楼,AF00,310115,
"[[121.25002068000003, 31.094500319999973]]",4,佘山会运营中心,AF00,310117,
"[[121.45181039999994, 31.09454428499997]]",4,滨江商务生活广场,AF00,310112,龙吴路3389
"[[121.31204381999996, 31.094728245000002]]",4,松江高科技园区双子楼,AF00,310117,
"[[121.31978814, 31.095464805000017]]",4,棕榈广场,AF00,310117,
"[[121.80773825999995, 31.09604760000001]]",4,上海华东商务大楼,AF00,310115,盐朝公路
"[[121.3907562, 31.096730834999963]]",4,银都商厦,AF00,310112,
"[[121.42954169999996, 31.09727241000001]]",4,福克斯连锁商务大厦,AF00,310112,虹梅南路2599
"[[121.45117698000004, 31.098059774999964]]",4,欣隆大厦,AF00,310112,龙吴路3201
"[[121.56335117999998, 31.09848398999998]]",4,天纳商汇,AF00,310115,建韵路500号
"[[121.50228743999996, 31.098564810000006]]",4,浦江科技广场1号楼,AF00,310112,陈行路2388号
"[[121.50228743999996, 31.098564810000006]]",4,浦江科技广场,AF00,310112,陈行路2388号
"[[121.50296982000002, 31.099096530000036]]",4,浦江科技广场2号楼,AF00,310112,陈行路2388号
"[[121.50470609999996, 31.099701329999984]]",4,浦江科技广场18号楼,AF00,310112,陈行路2388号
"[[121.50224711999999, 31.099704075000034]]",4,浦江科技广场3号楼,AF00,310112,陈行路2388号
"[[121.38943895999998, 31.09978165499997]]",4,金铭大厦,AF00,310112,都市路4418
"[[121.50463572000001, 31.100220854999982]]",4,浦江科技广场17号楼,AF00,310112,陈行路2388号
"[[121.41584748000002, 31.100639175000044]]",4,天元大厦,AF00,310112,老沪闵路1979
"[[121.50199620000002, 31.100812695000013]]",4,浦江科技广场5号楼,AF00,310112,陈行路2388号
"[[121.50419399999997, 31.10105906999997]]",4,浦江科技广场16号楼,AF00,310112,陈行路2388号
"[[121.58144081999998, 31.10202638999998]]",4,浦欣大厦,AF00,310115,周祝公路35号
"[[121.35978540000004, 31.102401645000032]]",4,青春商务楼,AF00,310112,莘松路855号
"[[121.38164406000003, 31.10275467000002]]",4,金燕大厦,AF00,310112,春申路3800号
"[[121.26263148000004, 31.10339776500003]]",4,永翔商务广场3号楼,AF00,310117,沪松公路3128弄3号
"[[121.38587316, 31.10372338499997]]",4,中旭广场,AF00,310112,春申路3555号
"[[121.26300137999999, 31.103827559999974]]",4,永翔商务广场2号楼,AF00,310117,沪松公路3128弄25号
"[[121.75952957999996, 31.105722690000015]]",4,上海世和空港中心,AF00,310115,百熙路
"[[121.38554376000002, 31.105742759999988]]",4,解放大厦1座,AF00,310112,都市路4855号
"[[121.38554376000002, 31.105742759999988]]",4,解放大厦,AF00,310112,都市路4855号
