name,point,type
创智坊1区北区,"[[121.50661823964019, 31.306742459796716]]",1.0
文化花园仁德苑,"[[121.48412939955226, 31.3067931752649]]",1.0
政通新苑,"[[121.51460196031222, 31.30681842013403]]",1.0
丰二小区,"[[121.4769378601942, 31.30685635533665]]",1.0
莘子苑,"[[121.5462988796896, 31.306875705149693]]",1.0
北杰公寓,"[[121.43473145978906, 31.306948605094085]]",1.0
广裕小区,"[[121.4628751802454, 31.30695657038944]]",1.0
幸福第一公寓,"[[121.4382684601214, 31.306964354921128]]",1.0
仁德苑,"[[121.48436933957336, 31.306983255073234]]",1.0
政通路7弄,"[[121.51914858004298, 31.307025735449344]]",1.0
创智天地嘉苑,"[[121.50462726023991, 31.307041124648237]]",1.0
幸福新苑,"[[121.44017213963261, 31.307047425298457]]",1.0
场中路2601弄,"[[121.43578355956365, 31.3070602496309]]",1.0
绿泉家苑,"[[121.4412843599853, 31.307119200190975]]",1.0
武川路222弄住宅小区,"[[121.49199287996751, 31.307323275248983]]",1.0
丰镇小区,"[[121.47665813956158, 31.307370569696097]]",1.0
政通路40～42弄,"[[121.51652363975428, 31.30741093486686]]",1.0
安亭镇塔庙村,"[[121.16505509971317, 31.307414940447174]]",1.0
场中路2401弄,"[[121.44007187961355, 31.30745706019522]]",1.0
翔鹰大楼,"[[121.53074957992922, 31.307522129742566]]",1.0
国和路111弄,"[[121.51527119980608, 31.307628645445668]]",1.0
场中小区,"[[121.4469775802512, 31.307629454835556]]",1.0
闻喜小区,"[[121.44246659975389, 31.307650829921883]]",1.0
洪东新苑,"[[121.53730517989013, 31.307657715131526]]",1.0
翔殷路505弄住宅小区,"[[121.5309893400861, 31.307702264847713]]",1.0
白金院邸,"[[121.3102998000958, 31.30774843514223]]",1.0
上海财经大学学生公寓,"[[121.49422307993125, 31.307764454765817]]",1.0
财大小区东区,"[[121.50194543963042, 31.307809140279595]]",1.0
仁德路67弄10支弄,"[[121.48401437985981, 31.30784428488593]]",1.0
海谊苑,"[[121.2986417400243, 31.307856885287094]]",1.0
上海财经大学武川路校区－学生公寓,"[[121.49101187969458, 31.307892434588197]]",1.0
盛安家园,"[[121.46016941968296, 31.307934735100005]]",1.0
津臣公寓,"[[121.4276218198911, 31.307950215130326]]",1.0
芳苑,"[[121.45433489973587, 31.307987789704804]]",1.0
梅福花苑,"[[121.4616204002614, 31.30803360027054]]",1.0
丰景湾名邸东区,"[[121.4681225400233, 31.308068025419054]]",1.0
新翔公寓,"[[121.52989025972772, 31.308111180286822]]",1.0
财大公寓,"[[121.48615133991247, 31.308145695367656]]",1.0
银都大楼,"[[121.44459059967657, 31.308234030376212]]",1.0
翔殷路578弄小区,"[[121.53031991982847, 31.308261480383102]]",1.0
绿泉公寓,"[[121.43663496033523, 31.308281055026697]]",1.0
新丰家园小区,"[[121.47660503999072, 31.308322860012034]]",1.0
新城碧翠,"[[121.57920828033804, 31.30841340015835]]",1.0
圣·莫尼卡,"[[121.31516952015724, 31.3084195200449]]",1.0
翔殷路491弄小区,"[[121.53296807971319, 31.30843374012504]]",1.0
临汾花园,"[[121.46095062027499, 31.30845367539687]]",1.0
紫腾苑,"[[121.45968557992572, 31.308462360149875]]",1.0
闻喜路251弄小区,"[[121.45594500006182, 31.308579315183266]]",1.0
上海财经大学－留学生公寓,"[[121.49434188037353, 31.30861414502681]]",1.0
中裕豪庭,"[[121.37667408024473, 31.308621884592334]]",1.0
翔殷路309弄小区,"[[121.53638591987439, 31.308676604741542]]",1.0
宏翔公寓,"[[121.53666563960772, 31.308706845344723]]",1.0
国定小区,"[[121.50203418023328, 31.308708779786393]]",1.0
闻喜华庭,"[[121.44077298028894, 31.30875755991353]]",1.0
金地未未来,"[[121.58231040000496, 31.30876453505524]]",1.0
阳泉小苑,"[[121.45850352002154, 31.30879697989681]]",1.0
乾溪二村,"[[121.39829927978806, 31.308799185034395]]",1.0
场中路755弄小区,"[[121.46592509966366, 31.308805304920945]]",1.0
思美公寓,"[[121.46037101980676, 31.308813809809564]]",1.0
徕茵半岛苑,"[[121.53231863969356, 31.308823035055106]]",1.0
场中公寓,"[[121.47496145970364, 31.308887879771902]]",1.0
曲沃世纪小区,"[[121.4405024399357, 31.308907004754566]]",1.0
静安花苑,"[[121.29852186039557, 31.308936614932875]]",1.0
财大小区,"[[121.49957303976407, 31.308957179730122]]",1.0
新北大楼,"[[121.47694937961029, 31.308999839970703]]",1.0
沁园别墅,"[[121.25367558016397, 31.309029090420232]]",1.0
里昂公寓,"[[121.46053463976193, 31.309060004615525]]",1.0
文化名园,"[[121.48611876017276, 31.30907827524223]]",1.0
乾龙苑,"[[121.39689006012824, 31.309119810430936]]",1.0
乾心园,"[[121.40564399977085, 31.309224659690344]]",1.0
忠烈小区,"[[121.4738863201976, 31.309228304642595]]",1.0
国定路700弄住宅小区,"[[121.49928252007223, 31.309336799753538]]",1.0
临汾路1513弄小区东区,"[[121.43403954029262, 31.30947620995923]]",1.0
岭南路100弄小区,"[[121.4509557601003, 31.309486650188795]]",1.0
聚丰福邸,"[[121.38135048024049, 31.309598474590004]]",1.0
闻喜路1223弄,"[[121.43779686013701, 31.309602255339847]]",1.0
上海理工人才公寓,"[[121.54537998030202, 31.30964406032519]]",1.0
爱心住宅,"[[121.45172003994796, 31.309651979755103]]",1.0
梅林小区,"[[121.53656592008122, 31.309716419776954]]",1.0
新北小区,"[[121.4785654199583, 31.309754354979574]]",1.0
星鸿佳苑,"[[121.53599640011385, 31.30975592969247]]",1.0
正文花园,"[[121.4842915796927, 31.30977109496009]]",1.0
沁园别墅北区,"[[121.25550509978066, 31.309808624568397]]",1.0
逸仙小区,"[[121.47993810016328, 31.309812765047113]]",1.0
同济欣苑南区,"[[121.49087561981415, 31.309823115344535]]",1.0
三泉路424弄小区,"[[121.43779686013701, 31.309842150394957]]",1.0
彭浦新村,"[[121.4462953797281, 31.30984332041291]]",1.0
政立路830弄,"[[121.4895319202619, 31.309864155006778]]",1.0
乾溪三村,"[[121.40189621993468, 31.309886385348435]]",1.0
闻喜路1110弄小区,"[[121.44006126041896, 31.309915814763073]]",1.0
政立路80弄住宅小区,"[[121.51569708005627, 31.30991675995056]]",1.0
黑山小区,"[[121.51968318023464, 31.309953300304677]]",1.0
格林公馆,"[[121.30822403980771, 31.309961354632904]]",1.0
彭顺小区,"[[121.44987270026505, 31.310141534704123]]",1.0
正文花园二期,"[[121.48407431967418, 31.310156744937906]]",1.0
陆巷别墅,"[[121.24571165986528, 31.310174565004218]]",1.0
椰泰公寓,"[[121.51377576034315, 31.310225234606953]]",1.0
桂园别墅北区,"[[121.24788282023596, 31.31022582006557]]",1.0
爱建新家园,"[[121.45344750000217, 31.310248275237782]]",1.0
同济欣苑,"[[121.49011224018787, 31.310264790387826]]",1.0
祁连欣苑,"[[121.3728366595842, 31.31030357994633]]",1.0
大众花苑,"[[121.49341938010038, 31.31031280519187]]",1.0
政立苑,"[[121.49709048014168, 31.310335034634157]]",1.0
政立路545弄小区,"[[121.49788086011372, 31.31033548519455]]",1.0
东方锦园,"[[121.49542998000962, 31.31034399008316]]",1.0
长海四村,"[[121.51985256034743, 31.31036311506574]]",1.0
彭五小区,"[[121.44880457996751, 31.3103735552954]]",1.0
闻喜路616弄,"[[121.45129775968397, 31.310450100192043]]",1.0
桃园别墅二区南区,"[[121.20930648020996, 31.310579205066297]]",1.0
恒安小区,"[[121.45752251974852, 31.310584379765366]]",1.0
阳光欧洲,"[[121.51086443994197, 31.310623305121553]]",1.0
