name,point,type
晨星茜浦苑,"[[121.31197848002287, 31.052682809963756]]",1.0
松江公租房社区三新路生活园区,"[[121.18359005963364, 31.053131054554534]]",1.0
复地·香堤苑,"[[121.18297914027517, 31.05326020529433]]",1.0
星辰园,"[[121.22540100025608, 31.053949874687035]]",1.0
三湘四季花城,"[[121.22530037960898, 31.054549139731108]]",1.0
镇南C区,"[[121.30677882028633, 31.05510007520835]]",1.0
上海家天下三期,"[[121.30088004018185, 31.055308965236648]]",1.0
上海家天下,"[[121.30081001986662, 31.055728769667063]]",1.0
三湘四季花城桂花苑,"[[121.2260900401233, 31.056857595101967]]",1.0
涵璧湾,"[[120.9738025799252, 31.05737392466694]]",1.0
龙湖·好望山,"[[121.22080289973405, 31.05780030044358]]",1.0
镇南B区,"[[121.30911359971292, 31.057864604667834]]",1.0
镇南A区,"[[121.3096525202477, 31.057953660033405]]",1.0
誉品·谷水湾,"[[121.21900019969948, 31.058587305260005]]",1.0
誉品·谷水湾东区,"[[121.21946063999657, 31.05858784485318]]",1.0
三湘四季花城紫薇苑,"[[121.22242397988285, 31.05923071532532]]",1.0
白洋小区,"[[121.31263637996506, 31.06018732508508]]",1.0
三湘四季花城玉兰苑,"[[121.22435555996114, 31.060431720347687]]",1.0
盛世香樟苑,"[[121.30528086002366, 31.060478924862565]]",1.0
明月清泉新苑,"[[121.3068877200923, 31.060746359856715]]",1.0
四季草堂花园,"[[121.30439238020423, 31.060889954607738]]",1.0
新华公寓,"[[121.28270202028203, 31.060961820331777]]",1.0
保利西子湾城,"[[121.22856035997268, 31.060976130344237]]",1.0
绿地·蔷薇九里,"[[121.2250458597787, 31.06137150019461]]",1.0
爱丁堡小区,"[[121.1526950396444, 31.061526029802472]]",1.0
万科·梦想派,"[[121.23650915996984, 31.06250392471641]]",1.0
山水景苑,"[[121.19665337964977, 31.062749445030974]]",1.0
信达·蓝爵,"[[121.23760031999883, 31.062794939934555]]",1.0
亚龙华泽新苑,"[[121.31193744036072, 31.06326667481718]]",1.0
中山苑二期,"[[121.25335625968378, 31.063510259790704]]",1.0
聚龙小区,"[[121.296176999569, 31.063530419893]]",1.0
万宇·阳光苑,"[[121.31182764033335, 31.06357668011976]]",1.0
申新家园,"[[121.30504056027368, 31.063846994743066]]",1.0
新桥商苑,"[[121.31395361966388, 31.06394302525044]]",1.0
明月清泉南园,"[[121.30618841985972, 31.06397520029529]]",1.0
欣德苑,"[[121.3086936603842, 31.064121359912853]]",1.0
龙麒苑小区,"[[121.31112905955851, 31.06415753963882]]",1.0
天马花苑二区,"[[121.14206496042958, 31.064266124682]]",1.0
