Point,Type,NAME,KIND,TELEPHONE,ADMINCODE,ADDRESS
"[[121.78972692000002, 31.02826081499998]]",6,航头东站1号口,8082,,310115,
"[[121.78954656000002, 31.028280525000014]]",6,上海野生动物园－游船码头,8082,,310115,
"[[121.42755252, 31.028316120000028]]",6,三鲁公路出口,8301,,310112,S4-沪金高速公路
"[[121.78975698000002, 31.028850630000022]]",6,拱极路出口,8082,,310115,
"[[121.78964681999996, 31.028860440000038]]",6,沈杜公路站2号口,8082,,310115,
"[[121.22619605999996, 31.031874495000018]]",6,沈杜公路站1号口,8082,,310117,嘉松南路324
"[[121.22643636000004, 31.03189479000001]]",6,颛桥站2号口,8082,,310117,通跃路
"[[121.22643563999998, 31.03283375999999]]",6,颛桥站1号口,8082,,310117,通跃路
"[[121.22618525999997, 31.032913365]]",6,高速快艇,8082,,310117,嘉松南路
"[[121.66654589999999, 31.03762315500005]]",6,西岑出口,8301,,310115,S2-沪芦高速公路
"[[121.78677995999999, 31.038650325000035]]",6,联航路站2号口,8301,,310115,G1501-上海绕城高速公路
"[[121.66640603999997, 31.03961229000005]]",6,联航路站1号口,8301,,310115,S2-沪芦高速公路
"[[121.47484896, 31.04213836499998]]",6,游艇,8180,,310112,通海路295号
"[[121.47092729999997, 31.043367900000014]]",6,天马出口,8180,,310112,通海路315号
"[[121.47052626000001, 31.044906450000042]]",6,鹤沙航城站2号口,8180,,310112,通海路
"[[121.40537418000002, 31.046852924999975]]",6,鹤沙航城站1号口,8082,,310112,沪闵路2615号
"[[121.40556426000003, 31.04689293]]",6,莘砖公路出口,8082,,310112,沪闵公路
"[[121.64504453999999, 31.047626610000044]]",6,金都路出口,8082,,310115,航三公路
"[[121.47421823999996, 31.04795502000004]]",6,江月路站2号口,8180,,310112,剑川路1
"[[121.64486472000003, 31.048196625000045]]",6,江月路站1出口,8082,,310115,航三公路
"[[121.69507247999996, 31.05202329000003]]",6,洞泾站4号口,8082,,310115,
"[[121.69511225999997, 31.05291271499999]]",6,洞泾站1号口,8082,,310115,
"[[121.47931421999999, 31.054605030000033]]",6,车沟桥渡口,8180,,310112,沈杜公路5990号附近
"[[121.756689, 31.055745239999965]]",6,陈行路渡口,8082,,310115,拱极路
"[[121.22808317999997, 31.05577111499997]]",6,银都路站2号口,8082,,310117,嘉松南路
"[[121.22834346, 31.05577143]]",6,银都路站1号口,8082,,310117,嘉松南路
"[[121.75834806000003, 31.055833980000024]]",6,南六公路出口,8082,,310115,拱极路
"[[121.75666884, 31.05618484500001]]",6,川南奉公路出口,8082,,310115,拱极路
"[[121.75833798, 31.05626359500004]]",6,朱家角出口,8082,,310115,拱极路
"[[121.22808282000003, 31.056300584999995]]",6,银都路出口,8082,,310117,嘉松南路
"[[121.22834309999998, 31.05631084500004]]",6,上海国际港务（集团）股份有限公司龙吴分公司码头,8082,,310117,嘉松南路
"[[120.91437323999997, 31.05664002000001]]",6,浦江镇站2号口,8301,,310118,G50-沪渝高速公路
"[[121.61332385999998, 31.056905070000006]]",6,浦江镇站1号口,8082,,310115,向阳河路
"[[121.61375370000002, 31.05702468000004]]",6,春申路站1号口,8082,,310115,向阳河路
"[[121.61306393999996, 31.057444935]]",6,方舟码头,8082,,310115,向阳河路
"[[121.61360376000005, 31.05752449500001]]",6,春申路出口,8082,,310115,向阳河路
"[[121.71796578000003, 31.05783985499999]]",6,东方绿舟景区－游艇码头,8180,021-61180000,310115,南六公路178号上海野生动物园内
"[[121.53049757999999, 31.058836964999976]]",6,莘庄公园－游船码头,8301,,310112,S32-申嘉湖高速公路
"[[120.92241276, 31.058890874999996]]",6,游船码头,8301,,310118,G50-沪渝高速公路
"[[121.78611288000003, 31.059254160000037]]",6,夏岸游船码头游园车停靠点,8301,,310115,G1501-上海绕城高速公路
"[[121.50781038000001, 31.06351052999996]]",6,东方绿舟景区－水陆两栖车,8082,,310112,浦星公路
"[[121.50797093999998, 31.06352097000002]]",6,东方绿舟景区－绿舟码头,8082,,310112,浦星公路
"[[121.39714907999999, 31.06909606499999]]",6,佘山站2号口,8082,,310112,沪闵路3559
"[[121.39729901999996, 31.069156094999983]]",6,佘山站1号口,8082,,310112,沪闵路3559
"[[120.90309443999996, 31.07358274499996]]",6,上海通畅家华码头,8180,,310118,金商公路701号
"[[121.55956038, 31.074957089999984]]",6,周浦东站3号口,8301,,310115,S32-申嘉湖高速公路
"[[120.96527939999996, 31.075357229999966]]",6,莘庄站南口,8301,,310118,G50-沪渝高速公路
"[[121.50607301999997, 31.075618680000012]]",6,周浦东站2号口,8082,,310112,
"[[121.50632394000003, 31.07563942500004]]",6,周浦东站4号口,8082,,310112,
"[[120.90950747999997, 31.075676550000004]]",6,周浦东站1号口,8180,,310118,金商公路702
"[[121.56343884, 31.077502425]]",6,古镇游船码头,8301,,310115,S32-申嘉湖高速公路
"[[121.11980957999998, 31.078539900000045]]",6,莘庄站北2口,8301,,310117,G1501-上海绕城高速公路
"[[121.60741967999996, 31.079430360000003]]",6,莘朱路出口,8082,,310115,
"[[121.60716011999997, 31.080510179999997]]",6,莘庄站北1口,8082,,310115,
"[[121.31527877999997, 31.081750335000024]]",6,机务区出口,8301,,310117,G60-沪昆高速公路
"[[121.11977592000002, 31.08412395000004]]",6,中春路出口,8301,,310117,G1501-上海绕城高速公路
"[[121.40190468, 31.084434945000012]]",6,泗泾站3号出口,8301,,310112,S4-沪金高速公路
"[[121.50402479999997, 31.086206729999972]]",6,芦恒路站3号口,8082,,310112,浦星公路
"[[121.50425555999996, 31.086247409999963]]",6,泗泾站2号口,8082,,310112,
"[[121.22604342000002, 31.086846225000038]]",6,莲花南路出口,8082,,310117,
"[[121.22615358, 31.08685634999999]]",6,泗泾站4号出口,8082,,310117,
"[[121.46335073999997, 31.08734316000003]]",6,泗泾站1号口,8180,,310112,
"[[121.29504462, 31.08791654999996]]",6,芦恒路站2号口,8301,,310117,G15-沈海高速公路
"[[121.47062940000002, 31.088698289999982]]",6,沪闵高架路出口,8180,,310112,
"[[121.385718, 31.090995180000043]]",6,虹梅南路出口,8082,,310112,沪闵路4755号
"[[121.38586775999997, 31.09106501999996]]",6,芦恒路站5号口,8082,,310112,沪闵路4755号
"[[121.39815275999999, 31.092369750000003]]",6,曹行出口,8301,,310112,S4-沪金高速公路
"[[121.69771415999995, 31.093724610000017]]",6,外环路站南口,8301,,310115,S32-申嘉湖高速公路
"[[121.70171087999998, 31.094190495000014]]",6,外环路站北A口,8301,,310115,S32-申嘉湖高速公路
"[[121.29429509999999, 31.094743545000036]]",6,外环路站北2口,8301,,310117,G15-沈海高速公路
"[[121.75633763999997, 31.09627592999999]]",6,梅陇出口,8301,,310115,S32-申嘉湖高速公路
"[[121.05371664000003, 31.096516049999963]]",6,莲花路出口,8301,,310118,G50-沪渝高速公路
"[[121.39643448000001, 31.09709897999997]]",6,龙吴路出口,8301,,310112,S4-沪金高速公路
"[[121.05619451999996, 31.097614139999962]]",6,莘庄出口,8301,,310118,G50-沪渝高速公路
"[[121.45194900000001, 31.09771174500004]]",6,山鹰码头,8180,,310112,龙吴路3010
"[[121.50167525999998, 31.09867294499999]]",6,北杨码头,8082,,310112,浦星公路
"[[121.50188604000002, 31.098713534999973]]",6,上海农科贸易有限公司仓库码头,8082,,310112,
"[[121.38103242, 31.10023457999997]]",6,莲花路站南2口,8082,,310112,沪闵路5475号
"[[121.19912801999997, 31.101384284999973]]",6,莲花路站南3口,8180,,310117,
"[[121.39482870000003, 31.102169939999968]]",6,莲花路站北3口,8301,,310112,S4-沪金高速公路
"[[120.99754368, 31.10407771499999]]",6,莲花路站南1口,8180,,310118,
"[[121.3682787, 31.104286515000034]]",6,莲花路北口,8180,,310112,莘浜路421号莘庄公园
"[[121.20523452000003, 31.10466901499997]]",6,闻居路出口,8180,,310117,
"[[121.20526440000002, 31.10476891499998]]",6,莲花路站北2出口,8180,,310117,
"[[121.01436396000003, 31.105717515000038]]",6,顾戴路出口,8180,,310118,
"[[121.00594392000005, 31.106082150000013]]",6,港口渡口,8180,,310118,银杏北路
"[[121.22546291999996, 31.10623721999996]]",6,济阳路出口,8082,,310117,嘉松南路
"[[121.22506277999999, 31.106256975]]",6,上南路出口,8082,,310117,嘉松南路
"[[121.45469166000001, 31.10909854500001]]",6,三林路渡口,8180,,310104,龙吴路2650
"[[121.39017048, 31.11005780999998]]",6,上中西路出口,8301,,310112,S4-沪金高速公路
"[[121.60270619999996, 31.111951319999974]]",6,九亭站3号口,8082,,310115,
"[[121.38250481999998, 31.111960770000046]]",6,九亭站2号口,8082,,310112,莘朱路
"[[121.60318625999997, 31.11197134500003]]",6,九亭站1号口,8082,,310115,
"[[121.60246536000002, 31.112690310000012]]",6,杨高南路出口,8082,,310115,
"[[121.60292543999998, 31.112730315000036]]",6,九亭站4号口,8082,,310115,
"[[121.05057024000001, 31.112780850000043]]",6,沪松公路出口,8180,,310118,北大街228
"[[121.38005609999996, 31.112941455000005]]",6,上海南站出口,8082,,310112,莘建东路255
"[[121.38806123999998, 31.113416970000003]]",6,凌兆新村站2号口,8301,,310112,S4-沪金高速公路
"[[121.38076565999995, 31.11365069999998]]",6,凌兆新村站1号口,8082,,310112,莘建东路255号
"[[121.81511465999998, 31.118186969999968]]",6,锦江乐园站北2出口,8301,,310115,S32-申嘉湖高速公路
"[[121.36769838000004, 31.119798060000043]]",6,锦江乐园站北口,8301,,310112,G60-沪昆高速公路
"[[121.25569661999995, 31.120264890000037]]",6,锦江乐园站北1口,8082,,310117,
"[[121.49314433999996, 31.120286534999963]]",6,三林站4号口,8082,,310112,
"[[121.25616677999996, 31.120335089999983]]",6,三林站3号口,8082,,310117,
"[[121.3975548, 31.120427925000023]]",6,三林站2号口,8301,,310112,S20-外环高速公路
"[[121.25568672000003, 31.12054488000002]]",6,三林站6号口,8082,,310117,泗陈公路
"[[121.25622689999996, 31.120585064999972]]",6,三林站1号口,8082,,310117,泗陈公路
"[[121.49378657999999, 31.12066822500001]]",6,耀龙路出口,8082,,310112,浦星公路
"[[121.38542208000004, 31.121014095000028]]",6,上海龙华肉联厂港口码头,8301,,310112,S20-外环高速公路
"[[121.41686375999996, 31.12166637]]",6,虹梅路出口,8301,,310112,S20-外环高速公路
"[[121.81316040000002, 31.121672669999988]]",6,三林东站2号口,8301,,310115,S32-申嘉湖高速公路
"[[121.49345538000003, 31.121716679999984]]",6,闵行体育公园－游船码头,8082,,310112,浦星公路
"[[121.42050768000001, 31.12236926999998]]",6,三林东站4号口,8301,,310112,S20-外环高速公路
"[[121.38891965999997, 31.12252123500003]]",6,赵巷出口,8082,,310112,梅陇西路
"[[121.38819011999999, 31.122831465000033]]",6,三林东站1号口,8082,,310112,沪闵路6703
"[[121.38830999999996, 31.123021275000013]]",6,灵岩南路站1号口,8082,,310112,沪闵路6707号
"[[121.42760795999996, 31.12337713499997]]",6,桂林路出口,8301,,310112,S20-外环高速公路
"[[121.38886008, 31.125090239999963]]",6,上南路站2号口,8301,,310112,沪闵高架路
"[[121.44173004000004, 31.12513402500003]]",6,灵岩南路站2号口,8301,,310104,S20-外环高速公路
"[[121.45702931999998, 31.126886504999995]]",6,中春路站3号口,8301,,310104,S20-外环高速公路
"[[121.39203797999997, 31.128376815000024]]",6,灵岩南路站3号口,8301,,310112,沪闵高架路
"[[121.42975986000002, 31.129006005000036]]",6,上南路站3号口,8180,,310112,莘朱东路118号
"[[121.43257416, 31.130238734999978]]",6,华夏西路站3号口,8180,,310104,老沪闵路1070弄25临
"[[121.42103994, 31.130946765000033]]",6,华夏西路站4号口,8180,,310104,罗秀路1135
"[[121.39845317999999, 31.13235067500002]]",6,中春路站2号口,8082,,310112,
"[[121.39845317999999, 31.13235067500002]]",6,中春路站6号口,8082,,310112,梅陇西路
"[[121.39785395999996, 31.132751040000016]]",6,上海浦东国际机场1号航站楼国际／港澳台出发,8082,,310112,
"[[121.39892280000002, 31.132780200000028]]",6,浦东国际机场站南口,8082,,310112,梅陇西路
"[[121.39788384000003, 31.13280098999997]]",6,上海浦东国际机场1号航站楼国际／港澳台到达,8082,,310112,
"[[121.77133542000001, 31.132838834999994]]",6,中春路站7号口,8301,,310115,G1501-上海绕城高速公路
"[[121.48363997999996, 31.133061089999998]]",6,上南路站1号口,8301,,310115,S20-外环高速公路
"[[121.39832358000001, 31.133190554999963]]",6,华夏西路站2号口,8082,,310112,
"[[121.49340390000003, 31.134388769999987]]",6,华夏西路站1号口,8301,,310115,S20-外环高速公路
"[[121.37548608000003, 31.13525853000001]]",6,浦东国际机场站北口,8301,,310112,S20-外环高速公路
"[[121.45425372000001, 31.135267934999987]]",6,上海浦东国际机场2号航站楼国际／港澳台出发,8180,,310104,
"[[121.49909351999997, 31.13529484499999]]",6,上海浦东国际机场2号航站楼国际／港澳台到达,8301,,310115,S20-外环高速公路
"[[121.50523314000002, 31.13615061000001]]",6,浦三路站3号口,8301,,310115,S20-外环高速公路
"[[121.46150376, 31.138153515]]",6,磁浮浦东机场站南口,8180,,310115,
"[[121.40995967999999, 31.138244729999997]]",6,浦三路站2号口,8301,,310112,中环路
"[[121.51949724000002, 31.13869563]]",6,上海浦东国际机场1号航站楼国内到达,8301,,310115,S20-外环高速公路
"[[121.40323074000004, 31.139005230000038]]",6,上海浦东国际机场1号航站楼国内出发,8301,,310112,沪闵高架路
"[[121.76859096000004, 31.13915305500001]]",6,磁浮浦东机场站北口,8301,,310115,G1501-上海绕城高速公路
"[[121.31429490000002, 31.13928954000002]]",6,浦三路站4号口,8082,,310117,沪松公路
"[[121.31531262000001, 31.139457524999976]]",6,浦三路站1号口,8082,,310117,沪松公路
"[[121.31542241999995, 31.139687159999973]]",6,上海浦东国际机场2号航站楼国内到达,8082,,310117,沪松公路
"[[121.52659932000003, 31.13969332500004]]",6,上海浦东国际机场2号航站楼国内出发,8301,,310115,S20-外环高速公路
"[[121.31481365999994, 31.139978129999974]]",6,七宝老街游船码头,8082,,310117,沪松公路
"[[121.29804594000001, 31.140244800000012]]",6,罗山路站2号口,8301,,310117,G15-沈海高速公路
"[[121.53148434000002, 31.14068521500004]]",6,罗山路站1号口,8301,,310115,S20-外环高速公路
"[[121.53706163999999, 31.141738845]]",6,上海南站地铁站3号口,8301,,310115,S20-外环高速公路
"[[121.43949533999997, 31.142112299999987]]",6,上海南站地铁站2号口,8301,,310104,中环路
"[[121.37113277999998, 31.142480805000012]]",6,申江路出口,8301,,310112,S20-外环高速公路
"[[121.48503282000001, 31.142659230000035]]",6,东方体育中心站3号口,8082,,310115,济阳路
"[[121.48463124, 31.143757365000035]]",6,东方体育中心站4号口,8082,,310115,济阳路
"[[121.40898822, 31.143801015]]",6,东方体育中心站2号口,8082,,310104,沪闵路
"[[121.40933868000005, 31.14413113499996]]",6,罗山路站3号口,8082,,310104,沪闵路8075
"[[121.40947871999998, 31.144271175]]",6,罗山路站5号口,8082,,310104,沪闵路
"[[121.50587304000003, 31.144626134999974]]",6,上海南站地铁站1号口,8082,,310115,三林路
"[[121.50733769999998, 31.145069699999993]]",6,东方体育中心站5号口,8082,,310115,上南路
"[[121.50772884000001, 31.14526063499998]]",6,东方体育中心站1号口,8082,,310115,上南路
"[[121.50674586000004, 31.145418090000042]]",6,东方体育中心站6号口,8082,,310115,上南路
"[[121.50826056000004, 31.145851800000045]]",6,上海南站地铁站4号口,8082,,310115,上南路
"[[121.55863787999996, 31.14626098499997]]",6,七宝站4号口,8301,,310115,S20-外环高速公路
"[[121.46580612, 31.147139655000018]]",6,七宝站5号口,8301,,310115,中环路
"[[121.44756563999997, 31.147387154999983]]",6,上海南站地铁站5号口,8180,,310104,喜泰路245－1
"[[121.57047306, 31.147592625000016]]",6,七宝站2号口,8301,,310115,S20-外环高速公路
"[[121.41252144000003, 31.147821854999975]]",6,七宝站6号口,8301,,310104,沪闵高架路
"[[121.51927494000002, 31.14841896]]",6,漕宝路出口,8082,,310115,东明路
"[[121.36195367999998, 31.14854721000004]]",6,上海南站地铁站6号口,8180,,310112,
"[[121.51798091999997, 31.148665559999976]]",6,七宝站1号口,8082,,310115,三林路
"[[121.47725700000004, 31.14892494000003]]",6,上海南站出发出口,8301,,310115,中环路
"[[121.22091522000001, 31.148947305000014]]",6,石龙路站1号口,8301,,310118,G50-沪渝高速公路
"[[121.23033011999998, 31.149012419999984]]",6,石龙路站3号口,8301,,310118,G50-沪渝高速公路
